Source	Target	Reaction Name	Mass
C(C(CO)O)=O	3668_0	Knoevenagel C	90.031694052
C(C(C)=O)=O	3668_0	Knoevenagel C	72.021129368
3668_0	C(C(CO)(C(C=O)(C)O)O)=O	Knoevenagel C	162.05282342
C(C(CO)O)=O	3668_1	Knoevenagel H	90.031694052
C(C(C)=O)=O	3668_1	Knoevenagel H	72.021129368
3668_1	C(C(CO)(C(C=O)(C)O)O)=O	Knoevenagel H	162.05282342
C(C(CO)O)=O	3669_0	Knoevenagel C	90.031694052
C(CC(CO)=O)=O	3669_0	Knoevenagel C	102.031694052
3669_0	C(C(CO)(C(CC(CO)=O)O)O)=O	Knoevenagel C	192.063388104
C(C(CO)O)=O	3669_1	Knoevenagel H	90.031694052
C(CC(CO)=O)=O	3669_1	Knoevenagel H	102.031694052
3669_1	C(C(CO)(C(CC(CO)=O)O)O)=O	Knoevenagel H	192.063388104
C(C(CO)O)=O	3671_0	Knoevenagel C	90.031694052
C(CC(CO)=O)=O	3671_0	Knoevenagel C	102.031694052
3671_0	C(C(CO)(C(CO)(CC=O)O)O)=O	Knoevenagel C	192.063388104
C(C(CO)O)=O	3671_1	Knoevenagel H	90.031694052
C(CC(CO)=O)=O	3671_1	Knoevenagel H	102.031694052
3671_1	C(C(CO)(C(CO)(CC=O)O)O)=O	Knoevenagel H	192.063388104
C(C(CO)O)=O	3673_0	Knoevenagel C	90.031694052
C(C(C(C)=O)O)=O	3673_0	Knoevenagel C	102.031694052
3673_0	C(C(C(C)=O)(C(C(CO)O)O)O)=O	Knoevenagel C	192.063388104
C(C(CO)O)=O	3673_1	Knoevenagel H	90.031694052
C(C(C(C)=O)O)=O	3673_1	Knoevenagel H	102.031694052
3673_1	C(C(C(C)=O)(C(C(CO)O)O)O)=O	Knoevenagel H	192.063388104
C(C(CO)O)=O	3674_0	Knoevenagel C	90.031694052
C(C(C(C)=O)O)=O	3674_0	Knoevenagel C	102.031694052
3674_0	C(C(CO)(C(C(C(C)=O)O)O)O)=O	Knoevenagel C	192.063388104
C(C(CO)O)=O	3674_1	Knoevenagel H	90.031694052
C(C(C(C)=O)O)=O	3674_1	Knoevenagel H	102.031694052
3674_1	C(C(CO)(C(C(C(C)=O)O)O)O)=O	Knoevenagel H	192.063388104
C(C(CO)O)=O	3676_0	Knoevenagel C	90.031694052
C(C(C(C)=O)O)=O	3676_0	Knoevenagel C	102.031694052
3676_0	C(C(CO)(C(C)(C(C=O)O)O)O)=O	Knoevenagel C	192.063388104
C(C(CO)O)=O	3676_1	Knoevenagel H	90.031694052
C(C(C(C)=O)O)=O	3676_1	Knoevenagel H	102.031694052
3676_1	C(C(CO)(C(C)(C(C=O)O)O)O)=O	Knoevenagel H	192.063388104
C(C(CO)O)=O	3677_0	Knoevenagel C	90.031694052
C(C=O)=O	3677_0	Knoevenagel C	58.005479304000005
3677_0	C(C(CO)(C(C=O)O)O)=O	Knoevenagel C	148.037173356
C(C(CO)O)=O	3677_1	Knoevenagel H	90.031694052
C(C=O)=O	3677_1	Knoevenagel H	58.005479304000005
3677_1	C(C(CO)(C(C=O)O)O)=O	Knoevenagel H	148.037173356
C(C(CO)O)=O	3678_0	Knoevenagel C	90.031694052
C(C)(C(CO)O)=O	3678_0	Knoevenagel C	104.047344116
3678_0	C(C)(C(CO)(C(C(CO)O)O)O)=O	Knoevenagel C	194.079038168
C(C(CO)O)=O	3678_1	Knoevenagel H	90.031694052
C(C)(C(CO)O)=O	3678_1	Knoevenagel H	104.047344116
3678_1	C(C)(C(CO)(C(C(CO)O)O)O)=O	Knoevenagel H	194.079038168
C(C(CO)O)=O	3680_0	Knoevenagel C	90.031694052
C(C)(C(CO)O)=O	3680_0	Knoevenagel C	104.047344116
3680_0	C(C(CO)(C(C)(C(CO)O)O)O)=O	Knoevenagel C	194.079038168
C(C(CO)O)=O	3680_1	Knoevenagel H	90.031694052
C(C)(C(CO)O)=O	3680_1	Knoevenagel H	104.047344116
3680_1	C(C(CO)(C(C)(C(CO)O)O)O)=O	Knoevenagel H	194.079038168
C(C(CO)O)=O	3681_0	Knoevenagel C	90.031694052
C(C(CCO)=O)=O	3681_0	Knoevenagel C	102.031694052
3681_0	C(C(CO)(C(C(CCO)=O)O)O)=O	Knoevenagel C	192.063388104
C(C(CO)O)=O	3681_1	Knoevenagel H	90.031694052
C(C(CCO)=O)=O	3681_1	Knoevenagel H	102.031694052
3681_1	C(C(CO)(C(C(CCO)=O)O)O)=O	Knoevenagel H	192.063388104
C(C(CO)O)=O	3683_0	Knoevenagel C	90.031694052
C(C(CCO)=O)=O	3683_0	Knoevenagel C	102.031694052
3683_0	C(C(CCO)(C(C=O)(CO)O)O)=O	Knoevenagel C	192.063388104
C(C(CO)O)=O	3683_1	Knoevenagel H	90.031694052
C(C(CCO)=O)=O	3683_1	Knoevenagel H	102.031694052
3683_1	C(C(CCO)(C(C=O)(CO)O)O)=O	Knoevenagel H	192.063388104
C(C(CO)O)=O	3685_0	Knoevenagel C	90.031694052
C(CO)(CCO)=O	3685_0	Knoevenagel C	104.047344116
3685_0	C(C(CO)(C(CO)(CCO)O)O)=O	Knoevenagel C	194.079038168
C(C(CO)O)=O	3685_1	Knoevenagel H	90.031694052
C(CO)(CCO)=O	3685_1	Knoevenagel H	104.047344116
3685_1	C(C(CO)(C(CO)(CCO)O)O)=O	Knoevenagel H	194.079038168
C(C(CO)O)=O	3687_0	Knoevenagel C	90.031694052
C(C(C=O)O)=O	3687_0	Knoevenagel C	88.016043988
3687_0	C(C(C=O)(C(C(CO)O)O)O)=O	Knoevenagel C	178.04773804
C(C(CO)O)=O	3687_1	Knoevenagel H	90.031694052
C(C(C=O)O)=O	3687_1	Knoevenagel H	88.016043988
3687_1	C(C(C=O)(C(C(CO)O)O)O)=O	Knoevenagel H	178.04773804
C(C(CO)O)=O	3689_0	Knoevenagel C	90.031694052
C(C(C=O)O)=O	3689_0	Knoevenagel C	88.016043988
3689_0	C(C(CO)(C(C(C=O)O)O)O)=O	Knoevenagel C	178.04773804
C(C(CO)O)=O	3689_1	Knoevenagel H	90.031694052
C(C(C=O)O)=O	3689_1	Knoevenagel H	88.016043988
3689_1	C(C(CO)(C(C(C=O)O)O)O)=O	Knoevenagel H	178.04773804
C(C(CO)O)=O	3691_0	Knoevenagel C	90.031694052
C(C)(CO)=O	3691_0	Knoevenagel C	74.036779432
3691_0	C(C(CO)(C(CO)(C)O)O)=O	Knoevenagel C	164.068473484
C(C(CO)O)=O	3691_1	Knoevenagel H	90.031694052
C(C)(CO)=O	3691_1	Knoevenagel H	74.036779432
3691_1	C(C(CO)(C(CO)(C)O)O)=O	Knoevenagel H	164.068473484
C(C(CO)O)=O	3692_0	Knoevenagel C	90.031694052
C(CC(C=O)O)=O	3692_0	Knoevenagel C	102.031694052
3692_0	C(C(CO)(C(C(CC=O)O)O)O)=O	Knoevenagel C	192.063388104
C(C(CO)O)=O	3692_1	Knoevenagel H	90.031694052
C(CC(C=O)O)=O	3692_1	Knoevenagel H	102.031694052
3692_1	C(C(CO)(C(C(CC=O)O)O)O)=O	Knoevenagel H	192.063388104
C(C(CO)O)=O	3693_0	Knoevenagel C	90.031694052
C(CC(C=O)O)=O	3693_0	Knoevenagel C	102.031694052
3693_0	C(C(CO)(C(CC(C=O)O)O)O)=O	Knoevenagel C	192.063388104
C(C(CO)O)=O	3693_1	Knoevenagel H	90.031694052
C(CC(C=O)O)=O	3693_1	Knoevenagel H	102.031694052
3693_1	C(C(CO)(C(CC(C=O)O)O)O)=O	Knoevenagel H	192.063388104
C(C(CO)O)=O	3695_0	Knoevenagel C	90.031694052
C(C)=O	3695_0	Knoevenagel C	44.026214748
3695_0	C(C(CO)(C(C)O)O)=O	Knoevenagel C	134.0579088
C(C(CO)O)=O	3695_1	Knoevenagel H	90.031694052
C(C)=O	3695_1	Knoevenagel H	44.026214748
3695_1	C(C(CO)(C(C)O)O)=O	Knoevenagel H	134.0579088
C(C(CO)O)=O	3697_0	Knoevenagel C	90.031694052
C(CNC)=O	3697_0	Knoevenagel C	73.052763849
3697_0	C(C(CO)(C(CNC)O)O)=O	Knoevenagel C	163.084457901
C(C(CO)O)=O	3697_1	Knoevenagel H	90.031694052
C(CNC)=O	3697_1	Knoevenagel H	73.052763849
3697_1	C(C(CO)(C(CNC)O)O)=O	Knoevenagel H	163.084457901
C(C(CO)O)=O	3699_0	Knoevenagel C	90.031694052
C(C(CO)N)(O)=O	3699_0	Knoevenagel C	105.04259308900001
3699_0	C(C(CO)(C(C(CO)O)O)N)(O)=O	Knoevenagel C	195.074287141
C(C(CO)O)=O	3699_1	Knoevenagel H	90.031694052
C(C(CO)N)(O)=O	3699_1	Knoevenagel H	105.04259308900001
3699_1	C(C(CO)(C(C(CO)O)O)N)(O)=O	Knoevenagel H	195.074287141
C(CO)(CO)=O	3701_0	Knoevenagel C	90.031694052
C(C(C(C)=O)O)=O	3701_0	Knoevenagel C	102.031694052
3701_0	C(C(C(C)=O)(C(CO)(CO)O)O)=O	Knoevenagel C	192.063388104
C(CO)(CO)=O	3701_1	Knoevenagel H	90.031694052
C(C(C(C)=O)O)=O	3701_1	Knoevenagel H	102.031694052
3701_1	C(C(C(C)=O)(C(CO)(CO)O)O)=O	Knoevenagel H	192.063388104
C(CO)(CO)=O	3703_0	Knoevenagel C	90.031694052
C(C)(C(CO)O)=O	3703_0	Knoevenagel C	104.047344116
3703_0	C(C)(C(CO)(C(CO)(CO)O)O)=O	Knoevenagel C	194.079038168
C(CO)(CO)=O	3703_1	Knoevenagel H	90.031694052
C(C)(C(CO)O)=O	3703_1	Knoevenagel H	104.047344116
3703_1	C(C)(C(CO)(C(CO)(CO)O)O)=O	Knoevenagel H	194.079038168
C(CO)(CO)=O	3705_0	Knoevenagel C	90.031694052
C(C(C=O)O)=O	3705_0	Knoevenagel C	88.016043988
3705_0	C(C(C=O)(C(CO)(CO)O)O)=O	Knoevenagel C	178.04773804
C(CO)(CO)=O	3705_1	Knoevenagel H	90.031694052
C(C(C=O)O)=O	3705_1	Knoevenagel H	88.016043988
3705_1	C(C(C=O)(C(CO)(CO)O)O)=O	Knoevenagel H	178.04773804
C(CO)(CO)=O	3707_0	Knoevenagel C	90.031694052
C(C(CO)N)(O)=O	3707_0	Knoevenagel C	105.04259308900001
3707_0	C(C(CO)(C(CO)(CO)O)N)(O)=O	Knoevenagel C	195.074287141
C(CO)(CO)=O	3707_1	Knoevenagel H	90.031694052
C(C(CO)N)(O)=O	3707_1	Knoevenagel H	105.04259308900001
3707_1	C(C(CO)(C(CO)(CO)O)N)(O)=O	Knoevenagel H	195.074287141
C(C(C)=O)=O	3709_0	Knoevenagel C	72.021129368
C(C(C(C)=O)O)=O	3709_0	Knoevenagel C	102.031694052
3709_0	C(C(C(C)=O)(C(C(C)=O)O)O)=O	Knoevenagel C	174.05282342
C(C(C)=O)=O	3709_1	Knoevenagel H	72.021129368
C(C(C(C)=O)O)=O	3709_1	Knoevenagel H	102.031694052
3709_1	C(C(C(C)=O)(C(C(C)=O)O)O)=O	Knoevenagel H	174.05282342
C(C(C)=O)=O	3711_0	Knoevenagel C	72.021129368
C(C(C(C)=O)O)=O	3711_0	Knoevenagel C	102.031694052
3711_0	C(C(C)(C(C=O)(C(C)=O)O)O)=O	Knoevenagel C	174.05282342
C(C(C)=O)=O	3711_1	Knoevenagel H	72.021129368
C(C(C(C)=O)O)=O	3711_1	Knoevenagel H	102.031694052
3711_1	C(C(C)(C(C=O)(C(C)=O)O)O)=O	Knoevenagel H	174.05282342
C(C(C)=O)=O	3713_0	Knoevenagel C	72.021129368
C(C)(C(CO)O)=O	3713_0	Knoevenagel C	104.047344116
3713_0	C(C)(C(CO)(C(C(C)=O)O)O)=O	Knoevenagel C	176.068473484
C(C(C)=O)=O	3713_1	Knoevenagel H	72.021129368
C(C)(C(CO)O)=O	3713_1	Knoevenagel H	104.047344116
3713_1	C(C)(C(CO)(C(C(C)=O)O)O)=O	Knoevenagel H	176.068473484
C(C(C)=O)=O	3715_0	Knoevenagel C	72.021129368
C(C)(C(CO)O)=O	3715_0	Knoevenagel C	104.047344116
3715_0	C(C(C)(C(C(C)=O)(CO)O)O)=O	Knoevenagel C	176.068473484
C(C(C)=O)=O	3715_1	Knoevenagel H	72.021129368
C(C)(C(CO)O)=O	3715_1	Knoevenagel H	104.047344116
3715_1	C(C(C)(C(C(C)=O)(CO)O)O)=O	Knoevenagel H	176.068473484
C(C(C)=O)=O	3717_0	Knoevenagel C	72.021129368
C(C(C=O)O)=O	3717_0	Knoevenagel C	88.016043988
3717_0	C(C(C=O)(C(C(C)=O)O)O)=O	Knoevenagel C	160.037173356
C(C(C)=O)=O	3717_1	Knoevenagel H	72.021129368
C(C(C=O)O)=O	3717_1	Knoevenagel H	88.016043988
3717_1	C(C(C=O)(C(C(C)=O)O)O)=O	Knoevenagel H	160.037173356
C(C(C)=O)=O	3719_0	Knoevenagel C	72.021129368
C(C(C=O)O)=O	3719_0	Knoevenagel C	88.016043988
3719_0	C(C(C=O)(C(C=O)(C)O)O)=O	Knoevenagel C	160.037173356
C(C(C)=O)=O	3719_1	Knoevenagel H	72.021129368
C(C(C=O)O)=O	3719_1	Knoevenagel H	88.016043988
3719_1	C(C(C=O)(C(C=O)(C)O)O)=O	Knoevenagel H	160.037173356
C(C(C)=O)=O	3721_0	Knoevenagel C	72.021129368
C(C(C(C=O)O)O)=O	3721_0	Knoevenagel C	118.02660867200001
3721_0	C(C(C(C=O)(C(C(C)=O)O)O)O)=O	Knoevenagel C	190.04773804
C(C(C)=O)=O	3721_1	Knoevenagel H	72.021129368
C(C(C(C=O)O)O)=O	3721_1	Knoevenagel H	118.02660867200001
3721_1	C(C(C(C=O)(C(C(C)=O)O)O)O)=O	Knoevenagel H	190.04773804
C(C(C)=O)=O	3723_0	Knoevenagel C	72.021129368
C(C(C(C=O)O)O)=O	3723_0	Knoevenagel C	118.02660867200001
3723_0	C(C(C(C=O)(C(C=O)(C)O)O)O)=O	Knoevenagel C	190.04773804
C(C(C)=O)=O	3723_1	Knoevenagel H	72.021129368
C(C(C(C=O)O)O)=O	3723_1	Knoevenagel H	118.02660867200001
3723_1	C(C(C(C=O)(C(C=O)(C)O)O)O)=O	Knoevenagel H	190.04773804
C(C(C)=O)=O	3725_0	Knoevenagel C	72.021129368
C(CO)(C(CO)O)=O	3725_0	Knoevenagel C	120.04225873600001
3725_0	C(CO)(C(CO)(C(C(C)=O)O)O)=O	Knoevenagel C	192.063388104
C(C(C)=O)=O	3725_1	Knoevenagel H	72.021129368
C(CO)(C(CO)O)=O	3725_1	Knoevenagel H	120.04225873600001
3725_1	C(CO)(C(CO)(C(C(C)=O)O)O)=O	Knoevenagel H	192.063388104
C(C(C)=O)=O	3727_0	Knoevenagel C	72.021129368
C(CO)(C(CO)O)=O	3727_0	Knoevenagel C	120.04225873600001
3727_0	C(C(C)(C(C(CO)=O)(CO)O)O)=O	Knoevenagel C	192.063388104
C(C(C)=O)=O	3727_1	Knoevenagel H	72.021129368
C(CO)(C(CO)O)=O	3727_1	Knoevenagel H	120.04225873600001
3727_1	C(C(C)(C(C(CO)=O)(CO)O)O)=O	Knoevenagel H	192.063388104
C(C(C)=O)=O	3729_0	Knoevenagel C	72.021129368
C(C(C(O)=O)N)(O)=O	3729_0	Knoevenagel C	119.02185764500001
3729_0	C(C(C(O)=O)(C(C(C)=O)O)N)(O)=O	Knoevenagel C	191.04298701300002
C(C(C)=O)=O	3729_1	Knoevenagel H	72.021129368
C(C(C(O)=O)N)(O)=O	3729_1	Knoevenagel H	119.02185764500001
3729_1	C(C(C(O)=O)(C(C(C)=O)O)N)(O)=O	Knoevenagel H	191.04298701300002
C(C(C)=O)=O	3731_0	Knoevenagel C	72.021129368
C(C(C(O)=O)N)(O)=O	3731_0	Knoevenagel C	119.02185764500001
3731_0	C(C(C(O)=O)(C(C=O)(C)O)N)(O)=O	Knoevenagel C	191.04298701300002
C(C(C)=O)=O	3731_1	Knoevenagel H	72.021129368
C(C(C(O)=O)N)(O)=O	3731_1	Knoevenagel H	119.02185764500001
3731_1	C(C(C(O)=O)(C(C=O)(C)O)N)(O)=O	Knoevenagel H	191.04298701300002
C(C(C)=O)=O	3733_0	Knoevenagel C	72.021129368
C(C(CO)N)(O)=O	3733_0	Knoevenagel C	105.04259308900001
3733_0	C(C(CO)(C(C(C)=O)O)N)(O)=O	Knoevenagel C	177.063722457
C(C(C)=O)=O	3733_1	Knoevenagel H	72.021129368
C(C(CO)N)(O)=O	3733_1	Knoevenagel H	105.04259308900001
3733_1	C(C(CO)(C(C(C)=O)O)N)(O)=O	Knoevenagel H	177.063722457
C(C(C)=O)=O	3735_0	Knoevenagel C	72.021129368
C(C(CO)N)(O)=O	3735_0	Knoevenagel C	105.04259308900001
3735_0	C(C(CO)(C(C=O)(C)O)N)(O)=O	Knoevenagel C	177.063722457
C(C(C)=O)=O	3735_1	Knoevenagel H	72.021129368
C(C(CO)N)(O)=O	3735_1	Knoevenagel H	105.04259308900001
3735_1	C(C(CO)(C(C=O)(C)O)N)(O)=O	Knoevenagel H	177.063722457
C(CC(CO)=O)=O	3737_0	Knoevenagel C	102.031694052
C(C(C=O)O)=O	3737_0	Knoevenagel C	88.016043988
3737_0	C(C(C=O)(C(CC(CO)=O)O)O)=O	Knoevenagel C	190.04773804
C(CC(CO)=O)=O	3737_1	Knoevenagel H	102.031694052
C(C(C=O)O)=O	3737_1	Knoevenagel H	88.016043988
3737_1	C(C(C=O)(C(CC(CO)=O)O)O)=O	Knoevenagel H	190.04773804
C(CC(CO)=O)=O	3739_0	Knoevenagel C	102.031694052
C(C(C=O)O)=O	3739_0	Knoevenagel C	88.016043988
3739_0	C(C(C=O)(C(CO)(CC=O)O)O)=O	Knoevenagel C	190.04773804
C(CC(CO)=O)=O	3739_1	Knoevenagel H	102.031694052
C(C(C=O)O)=O	3739_1	Knoevenagel H	88.016043988
3739_1	C(C(C=O)(C(CO)(CC=O)O)O)=O	Knoevenagel H	190.04773804
C(C(C(C)=O)O)=O	3741_0	Knoevenagel C	102.031694052
C(C=O)=O	3741_0	Knoevenagel C	58.005479304000005
3741_0	C(C(C(C)=O)(C(C=O)O)O)=O	Knoevenagel C	160.037173356
C(C(C(C)=O)O)=O	3741_1	Knoevenagel H	102.031694052
C(C=O)=O	3741_1	Knoevenagel H	58.005479304000005
3741_1	C(C(C(C)=O)(C(C=O)O)O)=O	Knoevenagel H	160.037173356
C(C(C(C)=O)O)=O	3743_0	Knoevenagel C	102.031694052
C(C(C=O)O)=O	3743_0	Knoevenagel C	88.016043988
3743_0	C(C(C=O)(C(C(C(C)=O)O)O)O)=O	Knoevenagel C	190.04773804
C(C(C(C)=O)O)=O	3743_1	Knoevenagel H	102.031694052
C(C(C=O)O)=O	3743_1	Knoevenagel H	88.016043988
3743_1	C(C(C=O)(C(C(C(C)=O)O)O)O)=O	Knoevenagel H	190.04773804
C(C(C(C)=O)O)=O	3745_0	Knoevenagel C	102.031694052
C(C(C=O)O)=O	3745_0	Knoevenagel C	88.016043988
3745_0	C(C(C=O)(C(C)(C(C=O)O)O)O)=O	Knoevenagel C	190.04773804
C(C(C(C)=O)O)=O	3745_1	Knoevenagel H	102.031694052
C(C(C=O)O)=O	3745_1	Knoevenagel H	88.016043988
3745_1	C(C(C=O)(C(C)(C(C=O)O)O)O)=O	Knoevenagel H	190.04773804
C(C(C(C)=O)O)=O	3747_0	Knoevenagel C	102.031694052
C(C(C=O)O)=O	3747_0	Knoevenagel C	88.016043988
3747_0	C(C(C(C(C=O)(C(C)=O)O)O)O)=O	Knoevenagel C	190.04773804
C(C(C(C)=O)O)=O	3747_1	Knoevenagel H	102.031694052
C(C(C=O)O)=O	3747_1	Knoevenagel H	88.016043988
3747_1	C(C(C(C(C=O)(C(C)=O)O)O)O)=O	Knoevenagel H	190.04773804
C(C(C(C)=O)O)=O	3749_0	Knoevenagel C	102.031694052
C(C)(CO)=O	3749_0	Knoevenagel C	74.036779432
3749_0	C(C(C(C)=O)(C(CO)(C)O)O)=O	Knoevenagel C	176.068473484
C(C(C(C)=O)O)=O	3749_1	Knoevenagel H	102.031694052
C(C)(CO)=O	3749_1	Knoevenagel H	74.036779432
3749_1	C(C(C(C)=O)(C(CO)(C)O)O)=O	Knoevenagel H	176.068473484
C(C(C(C)=O)O)=O	3751_0	Knoevenagel C	102.031694052
C(C)=O	3751_0	Knoevenagel C	44.026214748
3751_0	C(C(C(C)=O)(C(C)O)O)=O	Knoevenagel C	146.0579088
C(C(C(C)=O)O)=O	3751_1	Knoevenagel H	102.031694052
C(C)=O	3751_1	Knoevenagel H	44.026214748
3751_1	C(C(C(C)=O)(C(C)O)O)=O	Knoevenagel H	146.0579088
C(C(C(C)=O)O)=O	3753_0	Knoevenagel C	102.031694052
C(CNC)=O	3753_0	Knoevenagel C	73.052763849
3753_0	C(C(C(C)=O)(C(CNC)O)O)=O	Knoevenagel C	175.084457901
C(C(C(C)=O)O)=O	3753_1	Knoevenagel H	102.031694052
C(CNC)=O	3753_1	Knoevenagel H	73.052763849
3753_1	C(C(C(C)=O)(C(CNC)O)O)=O	Knoevenagel H	175.084457901
C(C=O)=O	3754_0	Knoevenagel C	58.005479304000005
C(C)(C(CO)O)=O	3754_0	Knoevenagel C	104.047344116
3754_0	C(C)(C(CO)(C(C=O)O)O)=O	Knoevenagel C	162.05282342
C(C=O)=O	3754_1	Knoevenagel H	58.005479304000005
C(C)(C(CO)O)=O	3754_1	Knoevenagel H	104.047344116
3754_1	C(C)(C(CO)(C(C=O)O)O)=O	Knoevenagel H	162.05282342
C(C=O)=O	3755_0	Knoevenagel C	58.005479304000005
C(C(C(C(C)=O)O)O)=O	3755_0	Knoevenagel C	132.042258736
3755_0	C(C(C(C=O)(C(C(C)=O)O)O)O)=O	Knoevenagel C	190.04773804
C(C=O)=O	3755_1	Knoevenagel H	58.005479304000005
C(C(C(C(C)=O)O)O)=O	3755_1	Knoevenagel H	132.042258736
3755_1	C(C(C(C=O)(C(C(C)=O)O)O)O)=O	Knoevenagel H	190.04773804
C(C=O)=O	3757_0	Knoevenagel C	58.005479304000005
C(C(C(C(C)=O)O)O)=O	3757_0	Knoevenagel C	132.042258736
3757_0	C(C(C(C(C)=O)(C(C=O)O)O)O)=O	Knoevenagel C	190.04773804
C(C=O)=O	3757_1	Knoevenagel H	58.005479304000005
C(C(C(C(C)=O)O)O)=O	3757_1	Knoevenagel H	132.042258736
3757_1	C(C(C(C(C)=O)(C(C=O)O)O)O)=O	Knoevenagel H	190.04773804
C(C=O)=O	3759_0	Knoevenagel C	58.005479304000005
C(C(C=O)O)=O	3759_0	Knoevenagel C	88.016043988
3759_0	C(C(C=O)(C(C=O)O)O)=O	Knoevenagel C	146.021523292
C(C=O)=O	3759_1	Knoevenagel H	58.005479304000005
C(C(C=O)O)=O	3759_1	Knoevenagel H	88.016043988
3759_1	C(C(C=O)(C(C=O)O)O)=O	Knoevenagel H	146.021523292
C(C=O)=O	3761_0	Knoevenagel C	58.005479304000005
C(C(C(C=O)O)O)=O	3761_0	Knoevenagel C	118.02660867200001
3761_0	C(C(C(C=O)(C(C=O)O)O)O)=O	Knoevenagel C	176.032087976
C(C=O)=O	3761_1	Knoevenagel H	58.005479304000005
C(C(C(C=O)O)O)=O	3761_1	Knoevenagel H	118.02660867200001
3761_1	C(C(C(C=O)(C(C=O)O)O)O)=O	Knoevenagel H	176.032087976
C(C=O)=O	3763_0	Knoevenagel C	58.005479304000005
C(CO)(C(CO)O)=O	3763_0	Knoevenagel C	120.04225873600001
3763_0	C(CO)(C(CO)(C(C=O)O)O)=O	Knoevenagel C	178.04773804
C(C=O)=O	3763_1	Knoevenagel H	58.005479304000005
C(CO)(C(CO)O)=O	3763_1	Knoevenagel H	120.04225873600001
3763_1	C(CO)(C(CO)(C(C=O)O)O)=O	Knoevenagel H	178.04773804
C(C=O)=O	3765_0	Knoevenagel C	58.005479304000005
C(CNC)(C(CO)O)=O	3765_0	Knoevenagel C	133.073893217
3765_0	C(CNC)(C(CO)(C(C=O)O)O)=O	Knoevenagel C	191.079372521
C(C=O)=O	3765_1	Knoevenagel H	58.005479304000005
C(CNC)(C(CO)O)=O	3765_1	Knoevenagel H	133.073893217
3765_1	C(CNC)(C(CO)(C(C=O)O)O)=O	Knoevenagel H	191.079372521
C(C=O)=O	3767_0	Knoevenagel C	58.005479304000005
C(C(C(CO)O)O)(O)=O	3767_0	Knoevenagel C	136.03717335599998
3767_0	C(C(C(CO)O)(C(C=O)O)O)(O)=O	Knoevenagel C	194.04265266000002
C(C=O)=O	3767_1	Knoevenagel H	58.005479304000005
C(C(C(CO)O)O)(O)=O	3767_1	Knoevenagel H	136.03717335599998
3767_1	C(C(C(CO)O)(C(C=O)O)O)(O)=O	Knoevenagel H	194.04265266000002
C(C=O)=O	3769_0	Knoevenagel C	58.005479304000005
C(C(C(CO)O)N)(O)=O	3769_0	Knoevenagel C	135.053157773
3769_0	C(C(C(CO)O)(C(C=O)O)N)(O)=O	Knoevenagel C	193.05863707700001
C(C=O)=O	3769_1	Knoevenagel H	58.005479304000005
C(C(C(CO)O)N)(O)=O	3769_1	Knoevenagel H	135.053157773
3769_1	C(C(C(CO)O)(C(C=O)O)N)(O)=O	Knoevenagel H	193.05863707700001
C(C=O)=O	3771_0	Knoevenagel C	58.005479304000005
C(C(C(O)=O)N)(O)=O	3771_0	Knoevenagel C	119.02185764500001
3771_0	C(C(C(O)=O)(C(C=O)O)N)(O)=O	Knoevenagel C	177.02733694900002
C(C=O)=O	3771_1	Knoevenagel H	58.005479304000005
C(C(C(O)=O)N)(O)=O	3771_1	Knoevenagel H	119.02185764500001
3771_1	C(C(C(O)=O)(C(C=O)O)N)(O)=O	Knoevenagel H	177.02733694900002
C(C=O)=O	3773_0	Knoevenagel C	58.005479304000005
C(C(CO)N)(O)=O	3773_0	Knoevenagel C	105.04259308900001
3773_0	C(C(CO)(C(C=O)O)N)(O)=O	Knoevenagel C	163.048072393
C(C=O)=O	3773_1	Knoevenagel H	58.005479304000005
C(C(CO)N)(O)=O	3773_1	Knoevenagel H	105.04259308900001
3773_1	C(C(CO)(C(C=O)O)N)(O)=O	Knoevenagel H	163.048072393
C(C=O)=O	3775_0	Knoevenagel C	58.005479304000005
C(C(C(CO)NC)O)=O	3775_0	Knoevenagel C	133.073893217
3775_0	C(C(C(CO)NC)(C(C=O)O)O)=O	Knoevenagel C	191.079372521
C(C=O)=O	3775_1	Knoevenagel H	58.005479304000005
C(C(C(CO)NC)O)=O	3775_1	Knoevenagel H	133.073893217
3775_1	C(C(C(CO)NC)(C(C=O)O)O)=O	Knoevenagel H	191.079372521
C(C)(C(CO)O)=O	3777_0	Knoevenagel C	104.047344116
C(C(C=O)O)=O	3777_0	Knoevenagel C	88.016043988
3777_0	C(C(C=O)(C(C)(C(CO)O)O)O)=O	Knoevenagel C	192.063388104
C(C)(C(CO)O)=O	3777_1	Knoevenagel H	104.047344116
C(C(C=O)O)=O	3777_1	Knoevenagel H	88.016043988
3777_1	C(C(C=O)(C(C)(C(CO)O)O)O)=O	Knoevenagel H	192.063388104
C(C)(C(CO)O)=O	3778_0	Knoevenagel C	104.047344116
C(C(C=O)O)=O	3778_0	Knoevenagel C	88.016043988
3778_0	C(C(C(C(C(C)=O)(CO)O)O)O)=O	Knoevenagel C	192.063388104
C(C)(C(CO)O)=O	3778_1	Knoevenagel H	104.047344116
C(C(C=O)O)=O	3778_1	Knoevenagel H	88.016043988
3778_1	C(C(C(C(C(C)=O)(CO)O)O)O)=O	Knoevenagel H	192.063388104
C(C)(C(CO)O)=O	3780_0	Knoevenagel C	104.047344116
C(C)(CO)=O	3780_0	Knoevenagel C	74.036779432
